"","p","d","m"
"114",584,1,16654.7372582765
"115",584,0,6845.63147939055
"116",695,0,10184.6981183882
"117",859,0,7400.36441951649
"118",695,1,14475.7197867828
"119",695,1,11278.4143977068
"120",770,0,8289.43882657372
"121",859,0,6587.97954935363
"122",695,1,12422.0876439833
"123",666,1,11010.7627576384
"124",584,1,11667.5894148925
"125",770,1,13912.678437469
"126",584,1,10093.670210912
"127",584,1,8549.1947299419
"128",584,0,6664.54973581051
"129",695,0,10237.0882352061
"130",584,1,12892.5210512609
"131",695,1,12325.9139192865
"132",584,1,9806.11648523979
"133",695,1,14118.3185290476
"134",584,0,8965.15841748393
"135",584,1,13484.2103708068
"136",666,0,7572.7796232034
"137",584,1,11333.5499631138
"138",695,1,13048.0113967608
"139",695,1,13554.4085570982
"140",770,1,11176.2842198545
"141",770,0,11271.1426587957
"142",584,1,9040.2723183251
"143",584,1,9643.0537728704
"144",666,1,8320.10177540179
"145",584,1,11654.9609758075
"146",666,1,12058.7510725517
"147",584,1,10069.9351593947
"148",584,1,15926.1960517044
"149",695,1,12230.9858277866
"150",666,1,12032.1586770578
"151",584,1,13109.4920277608
"152",584,1,13381.2178105526
"153",695,1,11790.0359566157
"154",584,1,11146.1753674959
"155",584,1,11311.422044635
"156",770,0,14298.8954433357
"157",770,0,8702.43695689949
"158",695,1,12576.3349641109
"159",584,1,13962.397529495
"160",770,0,12794.9631281738
"161",770,1,12455.2909945273
"162",584,1,12129.9788717889
"163",584,0,6115.701480074
"164",695,0,8681.32310608068
"165",695,1,13967.8629413073
"166",584,1,9850.77455602728
"167",695,0,9228.63412719974
"168",584,1,11811.4790315023
"169",695,0,6465.6837565025
"170",584,1,14269.9136939622
"171",584,1,16122.5287486065
"172",695,1,12344.6913253469
"173",584,0,7439.61846992644
"174",695,1,8322.82650410434
"175",584,1,7379.42724922821
"176",584,1,9024.95900809755
"177",695,1,16235.7652133245
"178",584,1,15164.2180672558
"179",695,1,10553.9238092906
"180",584,1,9441.40294005713
"181",666,0,8370.8644458411
"182",695,1,15240.3150624973
"183",584,0,9471.99982030281
"184",695,1,13824.8748701392
"185",584,0,7644.19565117046
"186",584,1,14992.5882238697
"187",584,1,9877.55939510722
"188",770,0,10918.0534576416
"189",584,1,9753.3723752624
"190",584,1,15061.9184653299
"191",584,1,13270.4363947249
"192",666,1,16017.7003439074
"193",584,1,12687.4664284583
"194",770,1,13982.323262409
"195",859,0,9810.28535807561
"196",695,1,11192.5595841951
"197",584,1,13823.8489467771
"198",770,0,7299.58367552418
"199",666,1,12404.768928516
"200",695,0,11542.0113552663
"201",695,1,15012.3981976329
"202",584,1,13758.6779956336
"203",584,1,8961.04780615003
"204",695,0,7045.68751951005
"205",770,0,8238.59992285675
"206",695,1,11243.8776716518
"207",584,1,9663.28981303009
"208",666,0,7616.86799600057
"209",584,1,10777.1374573526
"210",584,1,11600.3332183136
"211",770,0,8346.25509989521
"212",584,1,8863.0800298501
"213",584,1,11195.3993877949
"214",584,1,7641.92350135889
"215",695,0,9150.52653669961
"216",584,1,11881.9865724098
"217",584,1,11488.1706632223
"218",584,1,13597.6545366484
"219",695,0,9318.90495781893
"220",695,1,14130.9799990614
"221",584,1,13758.8410458546
"222",695,1,12272.844079651
"223",584,1,10638.5304552424
"224",770,1,9672.35384683377
"225",584,0,9602.64635562263
"226",584,1,11740.4204540399
"227",695,0,10562.8099359601
"228",695,1,13525.363315568
"229",584,1,11624.7682723458
"230",584,1,11477.6637991156
"231",584,1,11167.6104647633
"232",695,1,14369.2655374387
"233",584,1,12058.2679248009
"234",770,0,8202.47389830501
"235",695,0,6974.2807297892
"236",584,1,9839.45522372351
"237",695,1,10511.7454683453
"238",584,1,11211.5387833835
"239",770,0,11898.8659932808
"240",770,0,9832.55087857194
"241",695,0,8062.60562600386
"242",695,1,14355.981291292
"243",695,0,9718.58700961588
"244",584,1,9938.9939936768
"245",666,0,11008.9045865409
"246",695,0,7921.6469438571
"247",859,0,10912.3168548655
"248",666,0,9021.06961536242
"249",584,1,15568.5192686344
"250",584,1,9683.24970675888
"251",584,1,10796.2744218151
"252",695,1,13928.3234677532
"253",689,1,16037.1600029294
"254",584,1,11160.5438990146
"255",695,1,10353.4409520485
"256",584,1,10418.6413802328
"257",695,1,10559.5322712642
"258",666,1,9443.54565906018
"259",695,1,12576.2190078681
"260",584,1,9904.33989939331
"261",584,1,11962.2701256115
"262",695,1,12649.7731092744
"263",584,0,7259.19634255326
"264",695,1,10503.1384093733
"265",584,1,10116.1213123981
"266",666,0,10012.5744857687
"267",695,1,12150.7749575715
"268",584,1,8219.46132118904
"269",584,1,8545.02213151645
"270",666,1,7657.0373156192
"271",584,1,8464.57527651835
"272",584,0,6046.98579324405
"273",584,1,13693.4697190608
"274",666,1,11754.0341154118
"275",584,1,9927.00739640405
"276",584,0,7539.11070716162
"277",666,1,13794.5211052058
"278",666,1,12803.0935330404
"279",584,1,8412.45991488194
"280",770,1,12836.3014355982
"281",584,1,7422.94127885935
"282",584,1,9760.85668587838
"283",695,1,13062.113803851
"284",584,1,12535.6953797269
"285",695,1,11612.6165029429
"286",584,1,13242.6562412482
"287",584,1,9905.70646636273
"288",584,1,6686.40692595775
"289",859,0,10344.8540384696
"290",666,1,8649.76287721092
"291",689,0,7928.35376329214
"292",859,0,11347.357525854
"293",584,1,9059.48600971901
"294",584,1,10331.8149976071
"295",695,1,12198.0870016943
"296",584,1,11682.7766858881
"297",584,1,9975.81458524384
"298",695,1,10191.541693636
"299",695,1,11449.2126227918
"300",695,1,12172.7076235821
"301",695,0,9012.46823670284
"302",695,1,10701.0634311737
"303",695,1,12786.8568151369
"304",770,1,14788.1056478611
"305",695,0,9649.74430481374
"306",584,1,10129.6559152937
"307",584,1,11846.2302632441
"308",770,1,15026.2697729271
"309",770,1,13327.7347303348
"310",695,0,8301.39660945963
"311",584,0,9526.74479122811
"312",695,0,8906.86571711775
"313",666,1,10154.0937606499
"314",584,1,11971.483515779
"315",666,1,15433.6898866432
"316",666,1,11117.4088408278
"317",584,0,10765.3046424708
"318",584,1,9092.68325018607
"319",695,1,13300.2120071116
"320",584,1,10576.2496721103
"321",770,1,10851.0895720064
"322",666,0,6945.18209144396
"323",859,1,12409.7725810486
"324",695,1,12187.6090810068
"325",695,0,7462.73958752564
"326",770,0,8294.96815348687
"327",695,0,8665.69333178067
"328",695,0,8382.69153960401
"329",695,1,10001.9738446839
"330",584,1,11886.4252319175
"331",695,1,12764.3387531142
"332",689,1,13240.6758661709
"333",770,1,13621.4758506471
"334",695,0,10331.475714746
"335",584,1,10279.1628067883
"336",584,0,9524.70802716154
"337",695,0,8087.8859782109
"338",770,1,13550.8514200693
"339",584,1,11539.6181155
"340",666,1,12837.0095699798
"341",689,0,9091.94603882952
"342",584,1,11995.9472091423
"343",695,1,12517.1386550502
"344",695,0,7907.67334172935
"345",584,1,12836.0710553491
"346",584,1,11870.5014892642
"347",584,1,13085.8408527332
"348",770,1,10234.2534661207
"349",695,1,15474.9091282024
"350",695,1,11181.2772848099
"351",770,0,8282.3371898192
"352",770,1,13222.8022238695
"353",666,1,10621.6744387147
"354",584,1,10774.1007554203
"355",770,0,7576.58917269167
"356",695,0,10848.6778833357
"357",584,1,12045.5226962475
"358",584,1,10104.4071607251
"359",695,1,10229.4372569799
"360",666,1,13399.5085449783
"361",584,1,9709.2725935313
"362",695,0,8957.30836608278
"363",584,1,14698.7348969703
"364",695,1,12596.7970613819
"365",584,1,14490.7862138465
"366",666,1,12709.2537304986
"367",695,0,10524.203714215
"368",584,1,13149.4690616482
"369",584,1,11474.6064521102
"370",584,1,14271.6329214414
"371",666,1,12732.3848913356
"372",584,1,10629.1013692656
"373",770,0,7744.12294286702
"374",666,1,11826.2433754997
"375",584,1,10931.0329242224
"376",584,1,11783.700221912
"377",584,1,9287.9554253442
"378",584,1,10328.973762712
"379",859,0,10792.9126781296
"380",584,1,9881.73987858888
"381",666,1,13202.3694236779
"382",770,0,10988.5927941408
"383",584,1,8754.26803327399
"384",770,1,11382.667372158
"385",695,1,12550.5617379162
"386",666,1,11340.2833233963
"387",584,1,13084.282989954
"388",584,1,11287.0537944609
"389",584,1,7182.87134954945
"390",584,1,9817.15915822708
"391",584,1,10324.0534713923
"392",584,1,11086.3370365479
"393",666,1,11950.3090779575
"394",666,1,10720.3536396003
"395",584,1,11015.6491346945
"396",695,1,12862.7274561576
"397",584,1,13666.2575735439
"398",584,1,11239.7815599985
"399",770,0,9208.80862798269
"400",584,1,12193.5236566939
"401",584,0,9226.59727799562
"402",584,1,13200.9628036624
"403",584,1,10705.0467699006
"404",584,1,10489.6965131776
"405",584,1,13232.0467257122
"406",584,0,8727.53085099966
"407",584,1,10097.5583072627
"408",584,1,13586.5749542573
"409",584,1,9269.05704465756
"410",770,0,8304.40266364289
"411",666,1,10796.8697279259
"412",770,0,8283.21669971898
"413",695,1,12561.9893691331
"414",695,0,11009.5978177542
"415",695,1,12161.5734841266
"416",770,0,8844.13326177365
"417",584,1,9445.85857150641
"418",584,1,10579.5112554208
"419",584,1,10933.5573750035
"420",859,0,13464.2515537284
"421",770,0,9286.61473982373
"422",770,0,10985.0652488359
"423",584,1,12450.7003564137
"424",584,1,10140.4189002406
"425",584,1,10582.8483438019
"426",584,1,18218.3584982249
"427",584,1,10971.2364071054
"428",584,1,14842.5262553908
"429",695,1,11751.5810330115
"430",859,1,16979.4737258503
"431",584,1,7797.59422274273
"432",770,1,12161.8115330274
"433",770,0,11677.5167407017
"434",584,1,5769.78128360141
"435",584,1,9879.02711448432
"436",584,1,5097.76425146413
"437",770,0,10658.5511077652
"438",695,1,11913.1951564583
"439",584,1,11749.758610175
"440",859,0,11781.9534457727
"441",695,0,10808.7385399584
"442",695,1,11895.2878083392
"443",584,1,12168.1544452449
"444",584,0,8052.65189179625
"445",666,1,12508.4879631372
"446",695,1,10464.7013571311
"447",666,1,10858.4794431453
"448",695,1,14397.1057464473
"449",584,1,11356.4164342077
"450",584,1,14073.6859933666
"451",770,0,9241.35114005976
"452",584,1,13307.6921508017
"453",770,0,8594.45991453442
"454",695,1,12323.5135762354
"455",584,1,10855.4912506096
"456",695,1,11075.2439627117
"457",584,1,11082.6383588308
"458",584,1,12458.9325978394
"459",666,0,6399.42974512323
"460",689,1,10481.6811185022
"461",584,1,10549.3628846933
"462",584,1,11769.2302864538
"463",695,1,12748.7008497017
"464",584,1,9284.77808276176
"465",584,1,10471.3029228323
"466",695,0,9834.51465610777
"467",584,1,11897.452560231
"468",666,0,6892.84781163637
"469",584,0,7337.12704003525
"470",695,0,9758.36722154698
"471",584,1,9774.01366339147
"472",695,1,13277.7756083525
"473",695,0,10689.6975341931
"474",770,0,10874.7803466331
"475",584,0,9336.02724705962
"476",584,1,12162.0373858354
"477",695,1,14271.5206306732
"478",584,1,12819.4542921487
"479",695,0,9013.92504319272
"480",584,1,8788.59970373171
"481",584,1,16410.628003854
"482",695,1,8043.0478209768
"483",584,1,11563.6191176881
"484",584,0,8129.90837001751
"485",689,1,10599.2670187065
"486",584,1,9598.81241296756
"487",666,0,9356.89791054713
"488",584,1,10800.8653286905
"489",584,1,6808.66080626811
"490",695,1,15447.0720460651
"491",584,1,7195.20588370908
"492",584,1,15611.8278942038
"493",695,1,11573.2979520832
"494",695,0,8151.54528958746
"495",695,0,9976.60065764887
"496",584,1,13234.3064455595
"497",695,1,12527.6163718749
"498",584,0,7926.46936166461
"499",695,1,9871.67346133113
"500",770,0,10316.3813147834
"501",695,1,13535.9083241429
"502",584,1,11005.1800477826
"503",584,1,9740.60265252556
"504",695,1,9740.43321616049
"505",695,0,9134.62245255564
"506",584,1,15311.407156784
"507",695,1,13461.8337928989
"508",695,0,10062.0791024094
"509",770,0,8260.5292718593
"510",584,1,13545.2285955441
"511",689,0,7720.37231007335
"512",584,1,7932.91733958351
"513",584,1,8359.71094826124
"514",584,1,12639.0594994564
"515",584,1,10783.0048601238
"516",584,1,13888.0819418611
"517",695,1,12120.0132380704
"518",859,0,11112.9658832789
"519",584,1,5624.94426244487
"520",584,1,13626.0576668124
"521",770,0,9974.2866369644
"522",859,0,12425.2524778395
"523",770,1,11444.7888831617
"524",584,1,12161.3084416402
"525",584,1,11235.4900568138
"526",584,1,8344.00929116314
"527",689,0,11500.0128825127
"528",695,1,16202.4502979416
"529",584,1,8673.85375448085
"530",695,1,10229.0024559211
"531",666,1,11173.5888964032
"532",584,0,8676.53153993811
"533",666,1,12785.7207941194
"534",695,1,12785.2729599977
"535",666,0,9027.71801115096
"536",666,1,10541.8304568212
"537",770,1,13243.8860549084
"538",689,0,6964.05949258524
"539",695,1,10707.1598070793
"540",666,1,12921.0021219286
"541",695,1,13583.5229332961
"542",584,1,14470.0898881185
"543",584,1,11585.1414185444
"544",584,0,7678.2963061447
"545",695,1,9870.04183733037
"546",695,0,8953.13326082303
"547",584,1,13693.9176012672
"548",584,1,15375.9734209001
"549",666,0,8312.74196138454
"550",859,1,15318.4460231671
"551",584,1,10117.6881283592
"552",695,1,10527.3001069341
"553",695,1,12292.5647573148
"554",584,1,11944.5340939105
"555",695,0,9132.2833837437
"556",695,1,11479.2058850618
"557",695,1,12943.4332688119
"558",666,0,7850.82603263559
"559",584,1,11123.5166291631
"560",584,1,9570.8000399961
"561",584,1,8011.68531088205
"562",584,1,14560.1228183841
"563",695,0,9230.75685784064
"564",584,1,10687.4108030173
"565",695,1,15671.5550616634
"566",584,1,13149.9877571805
"567",584,1,15092.0271816502
"568",695,0,7982.79784304593
"569",859,0,9115.00139557706
"570",584,0,5116.1014660267
"571",666,1,9795.10009197467
"572",584,1,11761.8508876208
"573",695,1,9199.5316192868
"574",770,0,9967.81410131951
"575",584,1,13784.7846119313
"576",666,1,7865.33134290066
"577",770,0,10835.7765513775
"578",584,1,12798.0540331944
"579",695,1,12631.3236237251
"580",695,0,12147.036476113
"581",666,0,8269.33384358549
"582",584,1,9844.24476560626
"583",584,1,11834.3271807787
"584",584,1,14259.4954039165
"585",584,1,10904.3390186822
"586",770,1,12951.6512289511
"587",584,1,13012.6067509529
"588",584,1,12992.4109820265
"589",695,1,14060.7836980127
"590",770,0,8905.60969690438
"591",770,1,10751.1925083596
"592",695,1,13939.0037703005
"593",584,1,8826.41956321478
"594",695,0,11316.9467346643
"595",584,1,9485.04953747774
"596",584,1,12432.5806401096
"597",770,0,8225.68338513768
"598",695,1,8507.47974283767
"599",695,1,12264.6808487431
"600",584,1,13312.84681169
"601",584,1,8768.32292745751
"602",695,1,13985.1774975516
"603",584,0,7922.22846122658
"604",859,0,12244.5067054289
"605",695,1,12718.0306059694
"606",584,1,10084.3123740795
"607",695,0,6321.23626604624
"608",584,1,10775.0274370847
"609",584,1,8790.07381498535
"610",770,1,13489.7933168403
"611",695,0,11733.8918920642
"612",770,0,7087.05753621214
"613",584,1,13631.9616082692
"614",584,1,11668.2747452031
"615",666,1,11531.0108044648
"616",584,1,9518.22409741813
"617",695,1,10354.6975388779
"618",584,1,14978.4534896124
"619",584,1,13595.911698616
"620",666,0,7669.24741145409
"621",770,0,9523.0900908028
"622",666,1,11895.7097933717
"623",770,1,13247.800223744
"624",770,0,6820.03667477024
"625",584,1,14332.0183505075
"626",859,0,9789.83849244166
"627",666,1,13794.9849935562
"628",584,1,7629.34484925665
"629",584,1,8537.82280991071
"630",666,1,11746.0214797055
"631",695,0,7617.53591679813
"632",584,1,10836.3064484258
"633",584,1,8660.36734942687
"634",695,1,15430.3162254083
"635",584,1,14992.7853789884
"636",584,1,10129.8580624958
"637",695,1,11409.33447126
"638",695,1,11196.8537517035
"639",584,1,14293.5321892424
"640",584,1,9060.25091804516
"641",695,0,8604.73533342047
"642",584,1,9248.05217467794
"643",695,1,12330.0891697475
"644",666,1,9462.49970746898
"645",695,1,13963.5061296058
"646",695,0,14094.8148780232
"647",584,1,9867.69442758807
"648",584,1,12450.7482231679
"649",695,1,13615.3947782063
"650",584,1,7931.1175649417
"651",584,0,7037.05740631728
"652",584,1,11406.3106766602
"653",695,0,7950.54609011724
"654",770,1,13125.6593152971
"655",695,0,5925.14857627994
"656",584,1,11376.6957726389
"657",689,1,11159.8132773766
"658",666,0,9863.41795981243
"659",584,1,9323.01664350408
"660",584,1,10180.9680364818
"661",584,1,9397.22010289785
"662",695,0,4792.90919615251
"663",584,1,10039.5316757867
"664",695,1,13820.3704463074
"665",584,0,6834.99625241209
"666",666,0,9150.38580411815
"667",584,1,12574.266006793
"668",666,0,8367.03108432011
"669",695,0,7884.61378258172
"670",584,1,13776.7255950658
"671",695,0,5550.15680075169
"672",695,1,11930.2085422301
"673",584,1,11950.5366986558
"674",695,1,12514.9246573623
"675",695,0,8410.91994073425
"676",695,1,12829.1334920894
"677",584,1,5790.69605925098
"678",584,1,9367.18468746595
"679",695,0,8988.18430175116
"680",859,0,13768.4118804353
"681",584,1,8535.58105585589
"682",584,1,10180.541265423
"683",695,0,8324.53196903986
"684",695,0,9533.18711129683
"685",584,1,8939.91128442726
"686",584,1,14477.213446128
"687",695,0,5000.72767796097
"688",584,1,10814.1479751762
"689",666,1,12682.5977634204
"690",695,1,13488.2395619657
"691",859,0,7607.26209203405
"692",584,1,13106.904654994
"693",584,1,10411.2414318886
"694",695,1,13555.6066038205
"695",859,1,11743.8083689626
"696",695,1,10731.3274774632
"697",584,1,11274.860731215
"698",770,0,12236.6217154363
"699",695,0,10987.6207922697
"700",666,1,12984.9446252546
"701",584,0,10423.3958660725
"702",695,0,6039.66402859372
"703",695,0,11606.1617610393
"704",584,1,7680.42933473558
"705",584,1,12856.1564643471
"706",584,0,7804.63580452026
"707",584,0,8017.0012258073
"708",584,1,11069.1033039092
"709",695,1,13910.3086766859
"710",584,1,13313.1418729299
"711",584,1,11583.9354835912
"712",584,1,9309.0490217544
"713",584,1,13734.0968556166
"714",666,1,15090.2869951305
"715",584,1,10213.1671529531
"716",584,1,10408.202715978
"717",584,1,11881.1240138305
"718",695,0,7994.46232840667
"719",695,0,8074.46564405438
"720",859,0,10120.6908135506
"721",584,1,9269.4015423668
"722",695,1,13765.2030601785
"723",859,0,8873.29142076613
"724",859,1,13957.9117959626
"725",770,1,16186.8074003986
"726",695,1,9466.107240821
"727",666,1,13419.5957766456
"728",584,1,9161.82531244266
"729",695,1,12522.751209358
"730",666,1,12774.8376892954
"731",695,1,12616.8748243812
"732",584,1,14195.7032643461
"733",584,1,10580.0098129318
"734",584,1,18063.7528308612
"735",695,0,6011.11029049823
"736",584,1,9337.52322305629
"737",584,0,11877.9188536762
"738",666,0,7542.06907066918
"739",584,1,7548.91291848631
"740",695,1,13557.1504563451
"741",584,1,9791.3190996941
"742",770,0,10937.4325617708
"743",584,1,11981.8590255949
"744",695,1,14117.4033294914
"745",859,0,11086.0474452401
"746",695,1,11665.5965474935
"747",584,1,6853.55664355955
"748",584,1,10993.9143989051
"749",584,1,14553.0824776867
"750",584,1,14029.2793913769
"751",695,1,9395.03171355543
"752",695,1,10889.5668319205
"753",584,1,7187.19662511458
"754",584,0,7674.32281151656
"755",695,1,13217.281493826
"756",584,1,13325.4708373585
"757",770,0,8980.38922791793
"758",770,0,10075.7854087942
"759",584,1,10406.0936153776
"760",584,1,12146.6115208065
"761",695,1,10936.9073855508
"762",584,1,10559.984013303
"763",695,0,8645.53600810393
"764",695,1,14685.1524153088
"765",695,1,11964.2365329788
"766",584,1,9780.61121624326
"767",695,0,9132.81362824948
"768",584,1,11739.9763103031
"769",584,1,10320.5555410337
"770",584,1,10952.9610112549
"771",584,1,8546.18887557487
"772",584,1,11787.5880755156
"773",695,1,14923.6798955425
"774",584,1,14045.3372200378
"775",584,0,6262.74419469141
"776",584,1,12611.3370720382
"777",584,1,7948.07148843484
"778",859,0,8973.46296182866
"779",584,0,5758.88567664026
"780",584,1,10738.1425695254
"781",689,1,12597.0925684925
"782",584,1,11910.9144797187
"783",584,1,7581.993417666
"784",695,1,12218.5482245919
"785",770,0,12913.2931636095
"786",584,1,13418.9826152328
"787",666,1,9711.0120442409
"788",770,1,13614.7417239903
"789",584,1,10204.0350877299
"790",666,0,10587.8856370525
"791",584,1,12563.4924384356
"792",695,1,11182.6899842422
"793",695,1,12208.4123578559
"794",584,1,12307.3396960346
"795",695,1,13086.2199690494
"796",584,1,9394.91285948529
"797",584,1,10677.2191847097
"798",584,1,11833.4428282377
"799",770,0,11974.3047500223
"800",770,0,10948.4618890337
"801",584,1,10394.2063876569
"802",695,0,7485.19224545248
"803",695,0,10260.1950492338
"804",695,0,9003.8349128456
"805",695,0,8569.78846761493
"806",695,0,8383.84009306742
"807",770,0,9463.61541140047
"808",689,1,10120.1749489853
"809",584,1,7414.89733830999
"810",770,0,11017.9699036125
"811",584,1,12966.4665313313
"812",770,0,8750.99513331391
"813",666,1,11407.3076637997
"814",695,0,7981.9970942753
"815",584,1,6624.0295465491
"816",584,1,12888.2226691202
"817",584,1,9524.0797929758
"818",584,1,9086.48368507515
"819",584,1,9656.75274188045
"820",584,1,12818.5858121226
"821",695,1,11746.8702082276
"822",666,0,9196.86347059747
"823",584,1,13066.3760735947
"824",695,0,6732.82597611216
"825",770,1,10594.9834887738
"826",695,0,7379.9678465955
"827",584,1,11368.5227215999
"828",695,1,10132.7770007265
"829",584,1,11910.0973651287
"830",770,0,7701.93533985056
"831",695,1,12525.3501515819
"832",584,0,8444.95627825822
"833",584,1,10786.612629594
"834",584,1,12520.0019636051
"835",584,1,12234.4050892202
"836",584,1,13398.2005285746
"837",859,0,9046.95865158528
"838",584,1,9629.60413824502
"839",695,1,9985.49293692285
"840",584,1,11856.4322843497
"841",695,1,10830.3104372591
"842",584,1,9478.02983879069
"843",689,0,7460.60050398475
"844",666,1,12655.5955711994
"845",695,1,13700.3405355943
"846",584,1,11516.9694711925
"847",584,1,10178.2225642178
"848",695,1,14658.6028434832
"849",584,1,13331.834185957
"850",695,0,9936.75015464964
"851",584,1,14626.036772595
"852",584,1,13199.7854876482
"853",584,1,13964.8234400987
"854",695,1,14599.3290482351
"855",695,0,5756.342465155
"856",584,1,14329.5083424276
"857",770,0,7622.69930210706
"858",584,1,9108.63958593701
"859",584,1,9088.62412773247
"860",584,1,7199.08865490191
"861",584,0,9621.52190347058
"862",770,1,11596.7464833976
"863",695,0,8767.14442191688
"864",770,0,10401.079920447
"865",584,1,12080.5090641953
"866",584,1,10846.8604580523
"867",584,1,10555.8624974767
"868",770,1,14717.5175884624
"869",666,0,9601.91542329062
"870",584,1,10016.3781467419
"871",584,1,10919.0103106606
"872",584,0,10110.6326870587
"873",666,0,9560.51646383244
"874",695,0,9352.70988929444
"875",584,1,12254.5038467293
"876",695,0,8576.93332863646
"877",666,1,9833.42254852483
"878",584,1,13561.5232812984
"879",584,1,13129.9608440384
"880",770,1,11786.5039310258
"881",584,1,11580.7121510935
"882",770,1,13630.3705778623
"883",695,0,8245.40085306555
"884",584,1,9352.17648430239
"885",584,1,11265.5264552119
"886",695,1,11501.4858313194
"887",666,1,13431.0063563269
"888",770,0,10939.9247733644
"889",584,1,13463.3625170387
"890",770,0,7135.14593391946
"891",695,1,10555.0570678064
"892",770,0,8817.30984136724
"893",695,1,10352.9084351866
"894",584,1,11511.8243671963
"895",666,1,12884.683961738
"896",584,1,14057.3629298307
"897",584,1,8313.07231325056
"898",584,1,11543.9873924044
"899",859,0,8809.22865258534
"900",584,1,13347.098675436
"901",584,1,12715.5196328653
"902",584,1,11510.9037379586
"903",584,1,12421.908531271
"904",584,1,13794.4892159166
"905",695,0,8656.63155468051
"906",695,1,12140.6657418708
"907",695,1,11528.004968407
"908",666,1,12036.5748659977
"909",695,0,9080.87942646501
"910",584,1,11853.4958621855
"911",584,1,9398.4823097302
"912",666,1,12642.6411504719
"913",584,1,15177.1894582332
"914",770,0,12834.371458266
"915",584,1,8400.96490626057
"916",770,1,13247.5217394145
"917",770,0,6929.94141652254
"918",584,1,12368.5346483519
"919",584,1,16577.2828533049
"920",695,0,8981.84156243586
"921",584,1,10233.2589092837
"922",584,0,6669.91018475515
"923",770,1,15135.7028419494
"924",695,1,9434.03008681082
"925",695,0,7916.4715026009
"926",584,1,8798.48190055932
"927",666,1,15677.9951900142
"928",584,1,9013.95104891737
"929",695,1,11776.0460030573
"930",695,0,8362.55733705705
"931",584,1,12290.3811752842
"932",695,0,11618.9253716708
"933",770,1,12965.0694177437
"934",695,0,7380.93219962673
"935",584,0,11587.1084845783
"936",584,1,8193.89656736956
